Postcode,Long,Lat,SA3,SA4,SA1,SA2,0–4,5–11,12–15,16–19,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85 and over,Total
840,130.3529386,-12.72451307,70203,702,70203105708,702031057,,,,,,,,,,,,,,,,,,,
840,130.5109414,-12.76554875,70203,702,70203105708,702031057,,,,,,,,,,,,,,,,,,,
840,130.4518371,-12.71366907,70203,702,70203105708,702031057,,,,,,,,,,,,,,,,,,,
841,130.969862,-12.81922863,70103,701,70103103515,701031035,,,,,,,,,,,,,,,,,,,
845,131.038475,-13.045118,70203,702,70203105711,702031057,,,,,,,,,,,,,,,,,,,
846,131.095002,-13.210299,70203,702,70203105711,702031057,,,,,,,,,,,,,,,,,,,
847,131.759154,-14.012122,70203,702,70203105803,702031058,,,,,,,,,,,,,,,,,,,
850,132.1721041,-14.46369137,70205,702,70205106712,702051067,,,,,,,,,,,,,,,,,,,
850,132.2418315,-14.4161067,70205,702,70205106721,702051067,,,,,,,,,,,,,,,,,,,
850,132.365352,-14.195911,70205,702,70205106702,702051067,,,,,,,,,,,,,,,,,,,
850,132.2874375,-14.46576308,70205,702,70205106707,702051067,,,,,,,,,,,,,,,,,,,
850,132.2598385,-14.48180579,70205,702,70205106704,702051067,,,,,,,,,,,,,,,,,,,
850,132.3888705,-14.43162875,70205,702,70205106718,702051067,,,,,,,,,,,,,,,,,,,
851,137.050719,-15.711424,70205,702,70205106702,702051067,,,,,,,,,,,,,,,,,,,
852,134.3769898,-16.07839,70205,702,70205106508,702051065,,,,,,,,,,,,,,,,,,,
852,129.4842959,-15.90897497,70205,702,70205106811,702051068,,,,,,,,,,,,,,,,,,,
852,132.8673924,-14.52664756,70205,702,70205106501,702051065,,,,,,,,,,,,,,,,,,,
852,137.050719,-15.711424,70205,702,70205106502,702051065,,,,,,,,,,,,,,,,,,,
852,133.3001701,-14.43207837,70205,702,70205106503,702051065,,,,,,,,,,,,,,,,,,,
852,132.1841678,-14.5501072,70205,702,70205106714,702051067,,,,,,,,,,,,,,,,,,,
852,133.5378622,-16.23196977,70205,702,70205106508,702051065,,,,,,,,,,,,,,,,,,,
852,130.534439,-15.09737856,70205,702,70205106808,702051068,,,,,,,,,,,,,,,,,,,
852,129.6208296,-17.80951107,70205,702,70205106801,702051068,,,,,,,,,,,,,,,,,,,
852,134.3037985,-13.65022603,70205,702,70205106504,702051065,,,,,,,,,,,,,,,,,,,
852,135.8076202,-17.82741422,70205,702,70202105501,702021055,,,,,,,,,,,,,,,,,,,
852,130.8021087,-17.41926848,70205,702,70205106805,702051068,,,,,,,,,,,,,,,,,,,
852,137.050719,-15.711424,70205,702,70205106508,702051065,,,,,,,,,,,,,,,,,,,
852,131.6691884,-15.4019318,70205,702,70205106808,702051068,,,,,,,,,,,,,,,,,,,
852,137.050719,-15.711424,70205,702,70205106508,702051065,,,,,,,,,,,,,,,,,,,
852,131.8172473,-13.99360017,70205,702,70205106722,702051067,,,,,,,,,,,,,,,,,,,
852,137.050719,-15.711424,70205,702,70205106722,702051067,,,,,,,,,,,,,,,,,,,
852,133.546834,-15.07384438,70205,702,70205106508,702051065,,,,,,,,,,,,,,,,,,,
852,137.050719,-15.711424,70205,702,70205106508,702051065,,,,,,,,,,,,,,,,,,,
852,131.9083299,-14.5152899,70205,702,70205106722,702051067,,,,,,,,,,,,,,,,,,,
852,134.1976975,-14.15932656,70205,702,70205106503,702051065,,,,,,,,,,,,,,,,,,,
852,130.3336523,-16.34525224,70205,702,70205106808,702051068,,,,,,,,,,,,,,,,,,,
852,133.5636211,-13.53798419,70205,702,70205106503,702051065,,,,,,,,,,,,,,,,,,,
852,131.0885202,-18.22634802,70205,702,70205106801,702051068,,,,,,,,,,,,,,,,,,,
852,0,0,,,70202105501,702021055,,,,,,,,,,,,,,,,,,,
852,133.292842,-14.96147762,70205,702,70205106507,702051065,,,,,,,,,,,,,,,,,,,
